job_title,company_name,company_location,salary_usd,experience_level,employment_type,remote_ratio,required_skills,industry,posting_date
AI Product Manager,Advanced Robotics,United Kingdom,229855,EX,FL,0,"Hadoop, Tableau, Mathematics, SQL, AWS",Energy,2024-04-22
Principal Data Scientist,Machine Intelligence Group,Germany,85361,MI,PT,50,"Statistics, Mathematics, SQL, TensorFlow",Technology,2025-04-21
Computer Vision Engineer,Cloud AI Solutions,South Korea,80376,SE,FL,50,"R, Tableau, Java",Automotive,2024-06-21
Principal Data Scientist,Neural Networks Co,Japan,45147,EN,CT,100,"Python, Computer Vision, Git",Gaming,2024-02-13
Computer Vision Engineer,Predictive Systems,Israel,46236,MI,FL,100,"PyTorch, Tableau, Scala, GCP",Retail,2024-08-23
Data Engineer,Quantum Computing Inc,India,72594,MI,PT,100,"Linux, PyTorch, Git, GCP, Java",Manufacturing,2024-10-31
Head of AI,Predictive Systems,Australia,119767,SE,FL,100,"Git, Linux, Python",Energy,2024-10-12
Machine Learning Researcher,Neural Networks Co,Japan,141385,EX,CT,0,"PyTorch, Spark, SQL",Energy,2025-03-09
Autonomous Systems Engineer,Future Systems,Canada,231393,EX,FT,0,"PyTorch, Java, Tableau, GCP, Azure",Manufacturing,2025-01-26
AI Software Engineer,Autonomous Tech,France,58405,EN,FT,100,"NLP, Python, Scala",Media,2025-02-18
Robotics Engineer,Algorithmic Solutions,India,60440,EN,PT,0,"Docker, MLOps, Python, Spark, NLP",Real Estate,2025-04-15
Head of AI,Cloud AI Solutions,Denmark,195647,SE,FL,100,"SQL, Java, Linux",Energy,2024-08-07
Data Analyst,Cloud AI Solutions,Denmark,298418,EX,FL,0,"Python, TensorFlow, AWS, MLOps",Media,2024-05-11
Research Scientist,Predictive Systems,Norway,182777,SE,FL,50,"Kubernetes, Spark, PyTorch",Consulting,2025-01-31
AI Research Scientist,Cloud AI Solutions,Germany,87006,MI,PT,50,"R, NLP, Python",Telecommunications,2024-01-08
Machine Learning Engineer,Cloud AI Solutions,United Kingdom,69827,EN,CT,0,"SQL, Computer Vision, AWS, PyTorch, GCP",Finance,2024-10-11
NLP Engineer,Future Systems,Germany,206945,EX,PT,100,"GCP, Linux, Python, TensorFlow, Java",Energy,2025-04-10
Autonomous Systems Engineer,Algorithmic Solutions,Switzerland,99795,EN,FL,100,"Hadoop, Deep Learning, Statistics, Azure",Telecommunications,2024-05-20
AI Software Engineer,Autonomous Tech,Denmark,114667,MI,PT,0,"Git, SQL, Python, TensorFlow",Consulting,2025-04-08
Robotics Engineer,Neural Networks Co,Denmark,128576,MI,PT,50,"Hadoop, PyTorch, Linux",Automotive,2024-10-04
ML Ops Engineer,AI Innovations,Germany,60097,EN,PT,0,"Spark, Hadoop, GCP, Deep Learning, Statistics",Telecommunications,2024-09-30
Autonomous Systems Engineer,Cognitive Computing,United States,101978,MI,FT,0,"Java, GCP, SQL, MLOps",Media,2024-06-15
AI Research Scientist,DeepTech Ventures,Switzerland,353726,EX,CT,100,"Kubernetes, Java, Scala, Computer Vision",Manufacturing,2024-10-25
AI Architect,Future Systems,Austria,95186,EX,FT,100,"PyTorch, Kubernetes, Linux, Computer Vision",Retail,2024-11-02
AI Specialist,Digital Transformation LLC,Singapore,133855,SE,FL,0,"SQL, Python, GCP, R",Gaming,2024-09-02
Head of AI,Autonomous Tech,Australia,162221,SE,FL,50,"MLOps, R, Tableau",Energy,2024-10-15
ML Ops Engineer,DataVision Ltd,Canada,124709,EX,FT,100,"Docker, Python, TensorFlow, Statistics, PyTorch",Energy,2024-06-27
Data Scientist,Smart Analytics,France,58778,EN,PT,50,"PyTorch, Kubernetes, Mathematics, GCP, Linux",Automotive,2024-11-27
AI Consultant,Future Systems,Finland,59227,MI,FL,50,"Java, PyTorch, TensorFlow",Consulting,2025-03-27
NLP Engineer,AI Innovations,China,191741,EX,CT,0,"SQL, R, Linux, AWS, TensorFlow",Transportation,2024-11-13
Computer Vision Engineer,DataVision Ltd,Japan,125762,EX,FL,0,"NLP, R, Hadoop, TensorFlow, Spark",Manufacturing,2024-06-02
AI Software Engineer,AI Innovations,United States,100678,MI,FT,100,"Deep Learning, Hadoop, R",Automotive,2024-01-09
Machine Learning Engineer,DeepTech Ventures,Israel,117568,SE,PT,100,"Python, Spark, Docker, AWS",Telecommunications,2024-06-12
Autonomous Systems Engineer,Autonomous Tech,China,134632,EX,PT,100,"Scala, Python, NLP",Gaming,2024-04-14
Robotics Engineer,Cognitive Computing,Switzerland,106560,MI,CT,50,"PyTorch, Deep Learning, Computer Vision, NLP",Telecommunications,2024-10-12
AI Software Engineer,Autonomous Tech,United States,94044,EN,PT,100,"Docker, TensorFlow, AWS",Healthcare,2024-02-18
AI Research Scientist,Predictive Systems,Japan,79076,SE,FT,50,"SQL, Git, Statistics, PyTorch, Java",Government,2024-01-27
AI Software Engineer,Cloud AI Solutions,Canada,198743,EX,FL,50,"Git, Azure, Java",Manufacturing,2024-11-11
Deep Learning Engineer,Algorithmic Solutions,Japan,97175,SE,FT,50,"Java, Linux, Data Visualization, R",Telecommunications,2024-08-02
AI Architect,Autonomous Tech,Austria,64832,MI,PT,50,"Java, Python, Data Visualization, Kubernetes",Consulting,2024-12-10
Data Engineer,AI Innovations,Singapore,143835,SE,FL,50,"Python, TensorFlow, Computer Vision, Hadoop, Kubernetes",Education,2024-11-27
Data Scientist,Smart Analytics,Denmark,181246,SE,CT,0,"TensorFlow, Python, Tableau, Hadoop",Manufacturing,2024-08-06
Principal Data Scientist,Cognitive Computing,Ireland,46950,MI,FL,100,"Docker, SQL, GCP, Scala, Git",Government,2025-02-03
AI Consultant,Cognitive Computing,Japan,84808,SE,CT,0,"Java, Hadoop, AWS, Mathematics, Deep Learning",Consulting,2025-02-11
AI Architect,Digital Transformation LLC,Singapore,153304,SE,FL,0,"Linux, AWS, Git, Python",Real Estate,2024-04-08
Data Analyst,DataVision Ltd,Singapore,187668,EX,PT,0,"Python, Data Visualization, Mathematics",Manufacturing,2024-05-14
AI Specialist,Autonomous Tech,Ireland,72769,MI,CT,50,"Python, TensorFlow, Linux, Java, Kubernetes",Transportation,2024-07-17
Research Scientist,Neural Networks Co,Singapore,222757,EX,FT,0,"Docker, Git, MLOps",Real Estate,2024-12-22
Data Engineer,Advanced Robotics,Norway,160302,EX,PT,0,"Mathematics, Scala, NLP, SQL",Retail,2025-04-18
NLP Engineer,AI Innovations,India,78913,MI,CT,100,"PyTorch, Scala, Python",Energy,2024-03-24
Research Scientist,Autonomous Tech,Netherlands,226519,EX,FL,50,"AWS, Mathematics, NLP, Linux",Telecommunications,2024-07-14
Research Scientist,Cloud AI Solutions,Denmark,175559,SE,FL,0,"SQL, Data Visualization, MLOps, Java",Telecommunications,2025-02-15
Computer Vision Engineer,Predictive Systems,Canada,141569,SE,FL,50,"Azure, Kubernetes, Docker, Computer Vision, Spark",Government,2024-12-12
NLP Engineer,Predictive Systems,France,164894,SE,FT,100,"Kubernetes, Scala, Mathematics, NLP",Finance,2025-02-17
Data Analyst,DeepTech Ventures,Japan,88878,MI,FT,0,"Deep Learning, Hadoop, NLP",Real Estate,2024-07-25
ML Ops Engineer,Predictive Systems,Germany,101624,SE,FL,0,"Azure, Python, NLP, Git, TensorFlow",Consulting,2025-04-12
Head of AI,Smart Analytics,Singapore,84728,MI,FT,100,"Python, TensorFlow, Scala",Healthcare,2025-01-06
Research Scientist,Algorithmic Solutions,Austria,97260,EX,FT,100,"Azure, Scala, Statistics",Manufacturing,2024-01-11
Machine Learning Researcher,Future Systems,Singapore,69936,MI,FL,0,"Kubernetes, AWS, Deep Learning, R, Spark",Energy,2025-01-31
Data Engineer,Machine Intelligence Group,South Korea,75400,MI,PT,0,"Computer Vision, MLOps, Docker, Azure",Transportation,2025-03-31
ML Ops Engineer,TechCorp Inc,Denmark,107195,EN,FL,0,"AWS, PyTorch, Tableau, Computer Vision",Retail,2024-07-05
Data Scientist,Quantum Computing Inc,South Korea,75537,SE,FT,100,"Hadoop, Mathematics, Scala, PyTorch",Real Estate,2024-02-28
AI Research Scientist,DeepTech Ventures,Norway,109409,MI,FL,50,"Statistics, Scala, Spark, Java, Azure",Education,2024-11-07
AI Consultant,Autonomous Tech,India,49641,EN,CT,100,"Java, Deep Learning, SQL, MLOps",Media,2024-09-19
Machine Learning Researcher,DataVision Ltd,Denmark,60830,EN,FL,0,"Linux, Git, Java, Python, PyTorch",Manufacturing,2024-09-09
Machine Learning Engineer,DeepTech Ventures,South Korea,48516,EN,FL,100,"SQL, AWS, Data Visualization, NLP, Java",Automotive,2025-03-19
Computer Vision Engineer,Advanced Robotics,Sweden,98740,SE,FL,0,"GCP, Spark, TensorFlow, Kubernetes",Automotive,2024-09-17
Data Scientist,Digital Transformation LLC,China,109279,EX,CT,50,"AWS, SQL, Git",Healthcare,2024-12-14
Deep Learning Engineer,Predictive Systems,Norway,103692,MI,CT,0,"AWS, Deep Learning, SQL",Energy,2024-05-09
Machine Learning Researcher,Algorithmic Solutions,Singapore,110492,MI,PT,0,"Azure, R, Tableau, Java",Gaming,2024-04-22
Data Scientist,DeepTech Ventures,Germany,226973,EX,FL,100,"PyTorch, SQL, Python, R",Telecommunications,2024-11-24
Autonomous Systems Engineer,Future Systems,United States,171987,SE,FL,100,"GCP, SQL, Kubernetes, R, PyTorch",Education,2025-04-17
AI Consultant,Algorithmic Solutions,Sweden,173054,SE,CT,100,"Git, GCP, MLOps, Deep Learning, Statistics",Finance,2024-07-04
Autonomous Systems Engineer,Predictive Systems,Ireland,73669,MI,CT,0,"SQL, Hadoop, PyTorch, Tableau, Statistics",Finance,2024-10-08
AI Architect,Digital Transformation LLC,Denmark,98984,MI,FT,100,"Git, Python, PyTorch",Gaming,2024-09-12
Data Scientist,Algorithmic Solutions,United Kingdom,101933,MI,PT,0,"PyTorch, AWS, Java, Tableau",Education,2024-03-30
AI Product Manager,Future Systems,Finland,107603,SE,PT,0,"PyTorch, NLP, Tableau, Computer Vision",Technology,2025-04-14
Robotics Engineer,Future Systems,Canada,116150,SE,FT,0,"PyTorch, Kubernetes, Computer Vision",Government,2025-01-04
AI Product Manager,DeepTech Ventures,United States,170702,EX,FT,100,"Computer Vision, SQL, NLP, Hadoop, TensorFlow",Retail,2024-05-07
Data Scientist,Neural Networks Co,Japan,149281,EX,FT,50,"Spark, TensorFlow, Java, NLP, Deep Learning",Government,2024-06-08
Data Scientist,Cognitive Computing,Japan,43707,EN,PT,0,"Python, Git, TensorFlow, Java",Manufacturing,2024-01-14
AI Software Engineer,Quantum Computing Inc,United Kingdom,85131,MI,FT,50,"R, SQL, Spark",Healthcare,2024-01-14
AI Specialist,Smart Analytics,China,85625,SE,PT,100,"Kubernetes, PyTorch, Git",Telecommunications,2025-03-20
Computer Vision Engineer,Autonomous Tech,Germany,127955,SE,PT,100,"Kubernetes, Git, Azure, GCP",Automotive,2024-08-12
NLP Engineer,Algorithmic Solutions,China,53707,EN,PT,50,"Scala, Python, SQL, GCP",Healthcare,2024-02-29
Deep Learning Engineer,Autonomous Tech,Israel,152266,EX,CT,50,"Java, Kubernetes, Docker",Energy,2024-05-02
Principal Data Scientist,Advanced Robotics,United Kingdom,104315,MI,CT,50,"Kubernetes, NLP, Python",Technology,2025-02-27
AI Product Manager,Algorithmic Solutions,Finland,49234,MI,FL,0,"Python, TensorFlow, Azure, PyTorch, Deep Learning",Finance,2024-01-03
Principal Data Scientist,Digital Transformation LLC,Australia,104397,SE,FT,50,"Mathematics, NLP, Deep Learning, Python",Government,2024-06-27
Data Analyst,Digital Transformation LLC,France,117198,SE,FL,50,"R, Data Visualization, Git, GCP",Gaming,2025-04-07
Machine Learning Engineer,Machine Intelligence Group,Norway,63395,EN,PT,0,"AWS, Spark, Data Visualization, Linux",Transportation,2025-01-06
AI Specialist,DataVision Ltd,Netherlands,77545,EN,FL,50,"Scala, R, SQL, NLP, Java",Retail,2025-04-04
AI Software Engineer,Advanced Robotics,Australia,161796,SE,FL,100,"Spark, PyTorch, TensorFlow, Scala",Finance,2024-11-22
Data Analyst,Cloud AI Solutions,Denmark,217701,EX,PT,0,"PyTorch, GCP, Data Visualization, Deep Learning, Azure",Healthcare,2024-03-01
Deep Learning Engineer,Neural Networks Co,Sweden,128702,SE,PT,100,"Deep Learning, Data Visualization, MLOps, Linux",Healthcare,2025-04-29
Machine Learning Engineer,Smart Analytics,Sweden,63866,EN,FT,100,"Python, GCP, Data Visualization",Media,2025-02-28
Data Scientist,Future Systems,Denmark,171813,SE,PT,0,"PyTorch, Tableau, GCP",Energy,2025-04-15
Research Scientist,Predictive Systems,China,138694,EX,CT,100,"Python, Data Visualization, TensorFlow, GCP",Education,2024-08-14
Autonomous Systems Engineer,TechCorp Inc,Singapore,130454,MI,FT,100,"GCP, Kubernetes, MLOps, Data Visualization",Education,2024-05-26
Head of AI,Smart Analytics,Canada,145190,SE,FT,0,"Git, PyTorch, Spark, NLP, Computer Vision",Technology,2025-01-08
ML Ops Engineer,DeepTech Ventures,Japan,47965,MI,PT,50,"Python, Git, Computer Vision, TensorFlow",Finance,2024-12-29
Data Scientist,Cognitive Computing,Germany,61289,EN,FT,100,"Python, PyTorch, R",Finance,2024-10-17
Computer Vision Engineer,Quantum Computing Inc,Israel,73637,SE,PT,50,"Deep Learning, Docker, Java",Transportation,2025-02-01
AI Architect,Advanced Robotics,France,64826,EN,CT,0,"GCP, Scala, Java, SQL, Deep Learning",Consulting,2024-08-10
NLP Engineer,Machine Intelligence Group,Japan,146600,EX,FT,0,"Python, Data Visualization, Kubernetes, TensorFlow, Computer Vision",Media,2024-07-26
AI Software Engineer,Neural Networks Co,Denmark,172271,SE,FT,50,"Git, R, Scala, Kubernetes",Consulting,2024-08-20
AI Specialist,Advanced Robotics,South Korea,156725,EX,CT,0,"AWS, Kubernetes, NLP",Media,2024-07-13
Robotics Engineer,Future Systems,Denmark,94680,EN,FT,0,"Hadoop, Git, PyTorch, Azure, TensorFlow",Transportation,2025-03-18
Data Analyst,Algorithmic Solutions,Israel,92035,SE,CT,100,"AWS, Linux, TensorFlow, Git",Energy,2025-02-12
Data Engineer,Machine Intelligence Group,China,77042,SE,FL,0,"Data Visualization, MLOps, Python, TensorFlow",Education,2024-06-16
Machine Learning Engineer,Autonomous Tech,Denmark,272652,EX,FL,0,"Kubernetes, Java, NLP, Tableau, Hadoop",Automotive,2025-01-13
AI Product Manager,Future Systems,France,117510,MI,FT,0,"Data Visualization, PyTorch, Tableau",Media,2024-08-14
NLP Engineer,DataVision Ltd,Netherlands,80985,EN,FT,0,"Deep Learning, Git, Data Visualization",Manufacturing,2024-10-16
AI Architect,TechCorp Inc,Japan,61352,MI,CT,100,"Git, Python, NLP, Linux",Technology,2025-04-25
AI Research Scientist,Predictive Systems,Ireland,77636,SE,CT,100,"SQL, Linux, Docker, Tableau",Transportation,2024-02-08
Research Scientist,DeepTech Ventures,Denmark,214326,SE,PT,50,"Spark, Statistics, SQL, Python",Healthcare,2024-01-17
Data Scientist,Neural Networks Co,Austria,71473,MI,CT,100,"Kubernetes, Java, Mathematics, TensorFlow, R",Education,2024-04-08
Head of AI,Machine Intelligence Group,Japan,48920,MI,CT,100,"PyTorch, Docker, AWS, Linux, Java",Consulting,2024-04-25
Data Engineer,Digital Transformation LLC,South Korea,63273,MI,FL,50,"Mathematics, SQL, MLOps",Finance,2024-08-23
AI Product Manager,Neural Networks Co,Australia,134087,EX,FT,0,"Python, Scala, TensorFlow, Spark, GCP",Consulting,2024-07-01
Deep Learning Engineer,Advanced Robotics,Norway,142446,SE,FL,50,"Git, Python, Kubernetes",Real Estate,2024-11-14
AI Specialist,AI Innovations,United Kingdom,159755,SE,FT,50,"MLOps, PyTorch, Git",Gaming,2024-07-30
Computer Vision Engineer,Machine Intelligence Group,Germany,188034,EX,FT,100,"Java, Spark, NLP, Hadoop, Python",Telecommunications,2024-10-21
Data Scientist,TechCorp Inc,Netherlands,125153,SE,FT,50,"R, Python, Data Visualization, TensorFlow",Manufacturing,2024-03-08
Machine Learning Engineer,Autonomous Tech,South Korea,146076,EX,PT,50,"Hadoop, Python, Computer Vision",Government,2024-01-18
Principal Data Scientist,Algorithmic Solutions,Australia,140113,SE,CT,50,"PyTorch, Kubernetes, R",Telecommunications,2024-05-04
AI Software Engineer,Advanced Robotics,United Kingdom,73269,EN,FT,50,"Kubernetes, Data Visualization, GCP, MLOps, PyTorch",Automotive,2024-12-04
AI Software Engineer,Digital Transformation LLC,United States,103806,MI,CT,100,"NLP, Tableau, Azure, R",Finance,2024-09-02
Principal Data Scientist,Autonomous Tech,Singapore,103370,SE,FT,0,"Hadoop, Python, Git",Energy,2024-12-05
Machine Learning Engineer,DeepTech Ventures,Ireland,142657,EX,FL,100,"Python, SQL, Hadoop, Computer Vision",Telecommunications,2024-09-16
Research Scientist,DataVision Ltd,Denmark,291226,EX,FL,50,"GCP, Git, MLOps, Kubernetes",Government,2024-07-08
Data Scientist,Machine Intelligence Group,United States,65226,EN,FL,100,"Python, Git, TensorFlow",Consulting,2024-06-11
AI Specialist,Cloud AI Solutions,Switzerland,108886,EN,FL,50,"R, Tableau, Python, Statistics, Deep Learning",Real Estate,2024-02-16
Computer Vision Engineer,TechCorp Inc,Canada,271344,EX,CT,50,"PyTorch, Tableau, Azure, NLP",Retail,2024-01-13
Data Scientist,Algorithmic Solutions,Switzerland,171571,SE,FL,100,"MLOps, R, Data Visualization",Consulting,2024-12-31
Data Engineer,AI Innovations,Finland,82918,SE,PT,0,"Scala, Hadoop, Spark",Telecommunications,2024-08-30
AI Product Manager,Machine Intelligence Group,Japan,136651,EX,CT,0,"GCP, Java, Mathematics, Kubernetes",Manufacturing,2024-09-01
AI Software Engineer,Predictive Systems,Sweden,237637,EX,FT,0,"PyTorch, Python, AWS",Technology,2024-02-02
AI Consultant,Predictive Systems,Ireland,59160,EN,FT,50,"Azure, AWS, GCP, Tableau",Transportation,2024-01-17
Research Scientist,Smart Analytics,China,49162,EN,FL,0,"AWS, Python, Tableau",Media,2025-03-27
Robotics Engineer,Future Systems,India,83663,SE,FT,100,"Linux, AWS, Java, Spark, Deep Learning",Technology,2024-12-13
Machine Learning Engineer,Cognitive Computing,India,35782,EN,CT,50,"Java, TensorFlow, Spark",Healthcare,2024-03-04
Machine Learning Engineer,Future Systems,Australia,115383,SE,FT,50,"Spark, GCP, R, Hadoop, Data Visualization",Education,2024-07-25
Head of AI,Digital Transformation LLC,Finland,54121,EN,FL,0,"SQL, PyTorch, Tableau, Statistics, Mathematics",Automotive,2024-05-03
AI Software Engineer,Cognitive Computing,India,135272,EX,FT,0,"Computer Vision, PyTorch, SQL, Java, R",Media,2024-10-22
Machine Learning Engineer,AI Innovations,Ireland,46323,EN,PT,100,"Linux, Tableau, Mathematics, PyTorch, Data Visualization",Manufacturing,2024-05-12
Deep Learning Engineer,DeepTech Ventures,Finland,70013,MI,CT,50,"Kubernetes, Linux, Computer Vision, Tableau, Deep Learning",Transportation,2024-03-05
Data Scientist,TechCorp Inc,Sweden,97749,MI,CT,50,"SQL, Linux, PyTorch",Gaming,2024-11-09
AI Consultant,DeepTech Ventures,Sweden,137427,SE,PT,100,"Kubernetes, Linux, NLP, Docker, Deep Learning",Real Estate,2024-11-29
Robotics Engineer,Predictive Systems,Canada,160234,EX,CT,100,"Python, Statistics, Azure, GCP, TensorFlow",Energy,2025-01-28
Computer Vision Engineer,Autonomous Tech,Denmark,286216,EX,FT,100,"Java, Linux, NLP, Mathematics",Media,2024-02-10
Head of AI,Predictive Systems,Singapore,80478,MI,FT,0,"NLP, PyTorch, Spark, TensorFlow",Technology,2024-03-01
Robotics Engineer,Autonomous Tech,Singapore,144224,SE,FL,50,"AWS, Java, MLOps, R, SQL",Manufacturing,2024-02-10
ML Ops Engineer,Predictive Systems,Canada,151942,SE,CT,0,"TensorFlow, Mathematics, Data Visualization, Git, Statistics",Telecommunications,2024-11-14
AI Software Engineer,Machine Intelligence Group,Germany,81319,EN,CT,0,"Tableau, TensorFlow, Linux, Python",Automotive,2025-02-19
Data Engineer,Machine Intelligence Group,Norway,259184,EX,FL,100,"Deep Learning, GCP, Python",Automotive,2024-07-08
AI Specialist,Algorithmic Solutions,China,105668,EX,CT,100,"Java, Computer Vision, AWS, MLOps, Hadoop",Retail,2024-11-24
AI Architect,Autonomous Tech,Norway,223289,EX,FT,0,"Java, Deep Learning, Tableau, Scala, TensorFlow",Gaming,2025-03-19
Research Scientist,Quantum Computing Inc,India,62692,MI,PT,0,"AWS, NLP, Python, Azure",Retail,2024-08-15
AI Research Scientist,DataVision Ltd,Canada,70084,EN,CT,100,"Spark, AWS, PyTorch, Mathematics, NLP",Retail,2025-03-14
Computer Vision Engineer,Future Systems,Canada,69418,EN,FL,100,"Tableau, AWS, Hadoop",Manufacturing,2024-01-31
Data Engineer,Digital Transformation LLC,China,153083,EX,FL,0,"TensorFlow, Docker, PyTorch",Government,2024-09-23
Machine Learning Engineer,Smart Analytics,Denmark,201269,EX,PT,100,"Mathematics, Deep Learning, Java",Media,2024-05-21
AI Software Engineer,Cloud AI Solutions,Finland,148214,EX,FT,50,"Hadoop, GCP, Tableau, R, Git",Telecommunications,2024-11-17
Data Scientist,DeepTech Ventures,Germany,97454,MI,PT,50,"Docker, Scala, Computer Vision, Linux",Finance,2025-03-26
Autonomous Systems Engineer,Algorithmic Solutions,Canada,130864,SE,PT,100,"PyTorch, NLP, SQL, Mathematics",Retail,2024-05-30
Head of AI,DeepTech Ventures,Norway,137934,SE,FL,50,"Python, TensorFlow, Statistics, Scala, Git",Telecommunications,2024-10-10
AI Architect,Cloud AI Solutions,Norway,313205,EX,FT,50,"Kubernetes, AWS, Scala, Spark",Gaming,2024-02-18
AI Architect,Advanced Robotics,Sweden,83357,MI,PT,50,"Git, Mathematics, Tableau, Hadoop",Healthcare,2024-07-28
Head of AI,DeepTech Ventures,China,109917,SE,FL,100,"Git, Computer Vision, MLOps, Python",Consulting,2024-07-26
Head of AI,Smart Analytics,Singapore,115301,SE,FT,100,"Tableau, Git, Python, TensorFlow, Scala",Manufacturing,2024-04-27
AI Consultant,Smart Analytics,Sweden,53116,EN,CT,0,"Hadoop, Docker, MLOps",Retail,2024-05-20
AI Product Manager,Autonomous Tech,Israel,46556,EN,CT,100,"Mathematics, Data Visualization, Python, SQL, Spark",Technology,2024-05-26
Computer Vision Engineer,Neural Networks Co,United States,160078,SE,FL,50,"Spark, SQL, Python",Technology,2024-05-02
Head of AI,Cloud AI Solutions,Finland,111371,EX,CT,0,"SQL, Python, Azure, Docker, NLP",Gaming,2024-01-11
AI Consultant,Advanced Robotics,United Kingdom,64072,EN,PT,0,"Java, MLOps, Scala, Deep Learning",Automotive,2025-04-25
Head of AI,Predictive Systems,Japan,120586,EX,PT,0,"Python, Kubernetes, Computer Vision, GCP",Automotive,2024-06-20
Machine Learning Researcher,Future Systems,Germany,182856,EX,FL,0,"Java, R, Tableau, Computer Vision",Retail,2024-04-01
AI Software Engineer,Quantum Computing Inc,Israel,43117,EN,FT,50,"Python, TensorFlow, Git",Gaming,2024-01-08
Machine Learning Engineer,Cloud AI Solutions,United States,148848,SE,CT,0,"Java, R, PyTorch, Mathematics",Education,2025-01-19
Data Analyst,DeepTech Ventures,Sweden,49630,EN,PT,100,"Git, Spark, Statistics, MLOps, Mathematics",Healthcare,2024-11-23
Autonomous Systems Engineer,Algorithmic Solutions,United Kingdom,112595,MI,PT,100,"SQL, Java, Python",Healthcare,2024-03-26
Research Scientist,Smart Analytics,Japan,49185,EN,PT,50,"Data Visualization, SQL, Hadoop",Energy,2024-12-22
AI Software Engineer,Machine Intelligence Group,Netherlands,87531,MI,PT,100,"Scala, Data Visualization, Python, MLOps, Azure",Manufacturing,2024-03-03
AI Consultant,Machine Intelligence Group,Germany,139122,EX,PT,50,"R, Kubernetes, Spark, Scala",Healthcare,2025-02-19
Data Scientist,Cognitive Computing,Germany,162476,EX,FT,0,"Linux, Tableau, Scala, AWS, Data Visualization",Gaming,2024-11-27
AI Product Manager,AI Innovations,United States,106583,EN,FT,100,"Docker, PyTorch, SQL, Mathematics",Real Estate,2024-09-07
Head of AI,Autonomous Tech,Germany,160883,EX,FT,50,"Git, Linux, Kubernetes, Statistics, Python",Energy,2024-06-12
Autonomous Systems Engineer,DeepTech Ventures,Ireland,138000,EX,FT,0,"Python, PyTorch, R, Hadoop, Docker",Healthcare,2024-08-17
Data Scientist,Neural Networks Co,Ireland,47999,EN,CT,0,"TensorFlow, Hadoop, Data Visualization, Git, Mathematics",Finance,2024-08-17
Machine Learning Researcher,Neural Networks Co,Switzerland,261332,EX,FT,50,"Git, NLP, Deep Learning, Linux, Kubernetes",Education,2024-12-09
AI Product Manager,Machine Intelligence Group,United Kingdom,117075,SE,CT,100,"Mathematics, Python, Kubernetes",Gaming,2025-04-24
Data Analyst,Cloud AI Solutions,Singapore,97771,MI,CT,0,"Linux, Scala, NLP, Hadoop",Telecommunications,2024-05-25
AI Specialist,Algorithmic Solutions,United Kingdom,79627,EN,CT,100,"Spark, Hadoop, PyTorch",Gaming,2025-02-28
Computer Vision Engineer,Quantum Computing Inc,Ireland,133019,EX,FT,0,"Linux, Spark, Mathematics, Hadoop",Transportation,2024-10-23
Computer Vision Engineer,Smart Analytics,United Kingdom,216253,EX,PT,100,"Hadoop, Spark, Linux",Gaming,2025-04-15
AI Architect,Digital Transformation LLC,India,73822,MI,FT,0,"Python, Linux, Hadoop",Automotive,2024-08-19
Data Analyst,Digital Transformation LLC,Germany,169842,EX,FL,50,"GCP, Mathematics, Git, PyTorch",Education,2024-05-20
AI Consultant,Cognitive Computing,Sweden,97370,MI,FL,100,"Deep Learning, Computer Vision, Tableau, Kubernetes",Consulting,2024-10-14
Research Scientist,Machine Intelligence Group,Denmark,106332,EN,FL,0,"Kubernetes, Tableau, Docker, Scala",Manufacturing,2024-08-23
AI Architect,Future Systems,United States,146023,SE,FT,50,"Python, Docker, SQL, AWS, Scala",Finance,2024-09-02
AI Software Engineer,Neural Networks Co,Norway,167210,EX,FL,0,"Scala, TensorFlow, Deep Learning",Technology,2024-10-15
Research Scientist,Predictive Systems,Finland,46796,MI,CT,50,"R, SQL, PyTorch, Mathematics, Deep Learning",Telecommunications,2024-08-09
ML Ops Engineer,Quantum Computing Inc,Norway,87462,EN,PT,0,"Git, Statistics, Python",Government,2024-10-25
AI Software Engineer,Cognitive Computing,Ireland,45441,EN,FL,100,"Java, Spark, Azure, SQL, Deep Learning",Transportation,2024-04-10
NLP Engineer,Smart Analytics,Israel,102462,SE,PT,0,"Python, Hadoop, TensorFlow",Technology,2025-02-24
AI Architect,Algorithmic Solutions,Norway,140104,MI,CT,100,"Deep Learning, PyTorch, Tableau",Consulting,2024-01-28
Machine Learning Engineer,Cloud AI Solutions,Netherlands,90291,MI,FT,50,"SQL, PyTorch, Tableau",Real Estate,2024-03-20
AI Software Engineer,DeepTech Ventures,Denmark,303636,EX,PT,100,"R, Tableau, GCP, MLOps",Government,2024-07-27
Data Scientist,Cognitive Computing,United States,99041,EN,CT,50,"Python, GCP, Scala, Tableau, Git",Consulting,2024-03-21
ML Ops Engineer,Predictive Systems,Finland,42279,EN,PT,100,"Statistics, NLP, Python, Kubernetes",Transportation,2024-12-28
AI Architect,Advanced Robotics,India,65919,SE,FT,50,"Kubernetes, SQL, MLOps, GCP, Docker",Telecommunications,2024-01-12
AI Specialist,Predictive Systems,Ireland,101235,SE,PT,100,"Git, Scala, GCP, Kubernetes, AWS",Media,2024-11-18
Machine Learning Researcher,Predictive Systems,United States,109969,MI,CT,100,"Java, PyTorch, Tableau, MLOps, Kubernetes",Media,2024-07-15
Robotics Engineer,Machine Intelligence Group,India,115496,EX,CT,100,"SQL, Java, GCP, Data Visualization, Computer Vision",Technology,2024-02-29
